0.00,-1.00,0.00,-1.00,0.00,0.00
0.00,-1.00,-1.00,-1.00,0.00,0.00
0.00,-1.00,-1.00,-1.00,0.00,0.00
0.00,-0.13,-1.00,-0.13,0.00,0.00
0.00,2.90,-1.00,0.00,0.00,0.00
-1.00,-1.00,0.00,-1.00,0.00,0.00
-1.00,-1.00,-1.00,-1.00,0.00,0.00
-1.00,-1.00,-1.00,-0.13,0.00,0.00
-1.00,-1.00,-1.00,2.90,0.00,0.00
-0.13,-0.13,-0.13,0.00,0.00,13.00
-1.00,-0.15,0.00,-1.00,0.00,0.00
-1.00,-1.00,-1.00,-1.00,0.00,0.00
-1.00,-0.13,-1.00,-1.00,0.00,0.00
-0.13,-1.00,-1.00,-0.13,0.00,0.00
2.90,-1.00,-1.00,0.00,0.00,0.00
-1.00,2.86,0.00,-1.00,0.00,0.00
-1.00,-0.13,-0.16,-0.13,0.00,0.00
-1.00,2.90,-1.00,-1.00,0.00,0.00
-1.00,-0.13,-0.13,-1.00,0.00,0.00
-0.13,-1.00,-1.00,0.00,0.00,0.00
-0.14,0.00,0.00,-0.25,0.00,13.00
-1.00,0.00,2.86,2.89,0.00,0.00
-0.13,0.00,-0.15,-0.13,0.00,13.00
-1.00,0.00,2.90,-1.00,0.00,0.00
-1.00,0.00,-0.13,0.00,0.00,0.00
